dataset,split,paper_n,realized_n,paper_mean,realized_mean,mean_delta,cohens_d_approx
original,behavior_eval,324,324,-27069.4714807581,-26932.27820577739,137.19327498070925,0.328300462215567
original,direction_train,756,756,-28386.105003720237,-27968.74730541088,417.3576983093553,0.48404371304527
original,direction_val,756,756,-28336.68516968419,-27923.25285218254,413.4323175016507,0.4933142979463889
deepseek_heldout,heldout_behavior_eval,12,12,-27048.630696614582,-26925.551595052082,123.0791015625,0.2757164556646856
deepseek_heldout,heldout_readout,28,28,-28624.413713727678,-28180.789690290178,443.6240234375,0.5539946780012363
